prompt_id,prompt,N,K,max_new_tokens,batch_tokens_generated,batch_rounds,batch_time,batch_tokens_per_second,batch_target_calls,batch_target_sequences_evaluated,batch_draft_calls,batch_total_accepted,chosen_path_drafted_tokens,total_draft_compute_tokens,best_path_acceptance_rate,compute_adjusted_acceptance_rate,generated_tokens_per_target_call,ar_tokens_generated,ar_time,ar_target_calls,speedup_vs_ar,dataset
16,What is best Playstation or Xbox,2,2,50,50,19,1.1275737285614014,44.34299836321282,19,38,38,31,38,76,0.8157894736842105,0.4078947368421052,2.631578947368421,50,1.8575658798217771,50,1.647400815369941,dolly_15k
16,What is best Playstation or Xbox,2,4,50,18,4,0.3333160877227783,54.00279393345918,4,8,16,14,16,32,0.875,0.4375,4.5,50,1.8575658798217771,50,5.572985968102236,dolly_15k
16,What is best Playstation or Xbox,2,6,50,24,8,0.8297748565673828,28.923508358982257,8,16,48,16,48,96,0.3333333333333333,0.1666666666666666,3.0,50,1.8575658798217771,50,2.238638427182725,dolly_15k
16,What is best Playstation or Xbox,2,8,50,50,9,1.069556713104248,46.74833918332536,9,18,72,41,72,144,0.5694444444444444,0.2847222222222222,5.555555555555555,50,1.8575658798217771,50,1.736762396105613,dolly_15k
16,What is best Playstation or Xbox,2,10,50,42,6,0.8349802494049072,50.30059097797046,6,12,60,36,60,120,0.6,0.3,7.0,50,1.8575658798217771,50,2.2246824175130726,dolly_15k
16,What is best Playstation or Xbox,4,2,50,52,18,1.1856586933135986,43.857477951495405,18,72,36,34,36,144,0.9444444444444444,0.2361111111111111,2.888888888888889,50,1.8575658798217771,50,1.5666952811102646,dolly_15k
16,What is best Playstation or Xbox,4,4,50,50,11,0.954047441482544,52.408295254481686,11,44,44,39,44,176,0.8863636363636364,0.2215909090909091,4.545454545454546,50,1.8575658798217771,50,1.9470372216870149,dolly_15k
16,What is best Playstation or Xbox,4,6,50,51,12,1.3564660549163818,37.59769720381529,12,48,72,39,72,288,0.5416666666666666,0.1354166666666666,4.25,50,1.8575658798217771,50,1.3694156761897631,dolly_15k
16,What is best Playstation or Xbox,4,8,50,56,14,1.8583197593688965,30.13474926350573,14,56,112,42,112,448,0.375,0.09375,4.0,50,1.8575658798217771,50,0.999594321944155,dolly_15k
16,What is best Playstation or Xbox,4,10,50,50,9,1.4083337783813477,35.502947360580194,9,36,90,41,90,360,0.4555555555555555,0.1138888888888888,5.555555555555555,50,1.8575658798217771,50,1.318981273002448,dolly_15k
16,What is best Playstation or Xbox,6,2,50,51,17,1.317378044128418,38.713260955963314,17,102,34,34,34,204,1.0,0.1666666666666666,3.0,50,1.8575658798217771,50,1.410047698988903,dolly_15k
